userid,clarity,account,feltacc,ev1,ev1abs_acc,ev1reldiff,ev2,ev2abs_acc,ev2reldiff,ev3,ev3abs_acc,ev3reldiff,ev4,ev4abs_acc,ev4reldiff,ev5,ev5abs_acc,ev5reldiff,ev6,ev6abs_acc,ev6reldiff,ev7,ev7abs_acc,ev7reldiff,totdeviation,avedev,aveabs_acc,avereldiff,evtext1,evtext1len,evtext2,evtext2len,evtext3,evtext3len,evtext4,evtext4len,evtext5,evtext5len,evtext6,evtext6len,evtext7,evtext7len,totalevtext,avgevtext,crt1,crt1_correct,crt2,crt2_correct,crt3,crt3_correct,crt_total,consc_1,consc_2,consc_3,consc_4,consc,extra_1,extra_2,extra_3,extra_4,extra,agree_1,agree_2,agree_3,agree_4,agree,open_1,open_2,open_3,open_4,open,neuro_1,neuro_2,neuro_3,neuro_4,neuro,need.cog_1,need.cog_2,need.cog_3,need.cog_4,need.cog_5,need.cog_6,need.cog_7,need.cog_8,need.cog_9,need.cog_10,need.cog_11,need.cog_12,need.cog_13,need.cog_14,need.cog_15,need.cog_16,need.cog_17,need.cog_18,need.cog,aomt_1,aomt_2,aomt_3,aomt_4,aomt_5,aomt_6,aomt_7,aomt_8,aomt_9,aomt,educ,age,gender,race,debrief,end,LocationLatitude,LocationLongitude,LocationAccuracy
73,0,0,0,58,42,8,72,28,14,47,53,-25,49,51,2,56,44,7,63,37,7,56,44,-7,2,6.040816327,42.71428571,-0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,24,0,0,3,6,6,3,4.5,3,6,5,5,4.75,7,7,5,5,6,6,6,5,6,5.75,2,5,1,5,3.25,2,2,6,6,3,2,3,5,1,3,3,6,2,6,6,2,5,5,3.777777778,4,7,6,7,5,3,5,7,6,5.555555556,3,1,2,6,1,1,39.95970154,-75.19680023,-1
74,1,0,0,51,49,49,60,40,9,45,55,15,45,55,0,45,55,0,45,55,0,45,55,0,6,4.285714286,52,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,5,6,6,7,6,6,7,6,6,6.25,6,6,6,6,6,6,6,5,6,5.75,3,3,4,5,3.75,6,6,6,6,6,6,6,2,3,6,7,6,6,5,6,5,6,6,5.555555556,6,6,6,6,3,5,3,5,6,5.111111111,5,1,2,3,1,1,39.94070435,-75.22810364,-1
75,0,1,1,55,45,5,70,30,15,70,30,0,61,39,-9,60,40,-1,71,29,11,71,29,0,16,5.795918367,34.57142857,2.666666667,They have had constant lead in available polls.... so it is more likely that they have more constituents.,105,Actions by the government speak louder than to fit along side with other nations,80,"Nothing has changed, people knew this all along",47,No camp is still leading but the lead is smaller,48,Data is unable to show any significant differences,50,"Again, the past cases are too different to show any real significance in the current case",89,Makes it more unpredictable on both sides,41,460,65.71428571,0.50,0,5,1,47,1,2,2,2,7,5,4,6,3,7,2,4.5,5,1,3,7,4,5,2,6,5,4.5,5,2,6,5,4.5,5,3,5,5,1,3,5,1,1,7,3,5,5,5,7,1,5,7,4.111111111,5,6,5,4,2,6,2,2,6,4.222222222,3,1,1,4,1,1,39.95970154,-75.19680023,-1
76,1,0,0,50,50,50,55,45,5,40,60,15,51,49,11,60,40,9,61,39,1,65,35,4,15,6.489795918,45.42857143,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,7,7,7,6,6.75,1,3,2,3,2.25,7,7,6,6,6.5,2,3,6,2,3.25,3,7,5,5,5,6,7,5,5,6,7,6,1,2,7,6,1,4,3,7,1,5,6,4.722222222,6,7,7,6,6,2,6,7,7,6,3,1,2,1,1,1,39.95970154,-75.19680023,-1
77,0,0,0,50,50,0,58,42,8,52,48,-6,53,47,1,60,40,7,65,35,5,69,31,4,19,5.591836735,41.85714286,3.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,3,3,5,3,3.5,2,4,3,3,3,6,6,6,7,6.25,4,6,2,3,3.75,3,5,3,5,4,6,4,6,6,4,6,2,5,2,7,6,5,4,6,3,5,6,7,5,4,7,7,6,7,1,7,7,7,5.888888889,3,1,1,1,1,1,39.95970154,-75.19680023,-1
78,1,1,1,80,20,20,80,20,0,80,20,0,72,28,8,80,20,8,80,20,0,77,23,3,3,2.244897959,21.57142857,3.166666667,"As opposed to in an opinion poll, voters are more likely to actually vote to maintain the status quo rather than for significant change. ",137,"The concessions made by the Prime Minister will satisfy moderates on the issue that may have leaned toward ""yes.""",113,People are motivated more by a fear of danger associated with unfamiliar situations than they are by hope for a new future. ,124,I wouldn't heavily weight the results of one poll when many others contradict it. I think there is a difference between a leader winning a debate and people actually siding with their position and being convinced.,213,"The status quo is the most significant influencing factor in this referendum. In the final vote it will be more apparent than in the opinion polls,",147,This aligns with my belief that more people will vote to maintain the status quo in the real vote than in the opinion polls.,124,"People that rarely or never vote will be more likely to show up, but it is unlikely that they will appear in large enough numbers in any given election. This obviously depends on the social situation, however, and accessibility of voting,",238,1096,156.5714286,0.05,1,5,1,47,1,3,1,1,2,1,1.25,5,6,6,6,5.75,7,6,6,7,6.5,4,7,6,6,5.75,2,6,2,6,4,6,2,7,6,6,5,7,6,3,6,6,6,2,7,2,6,6,7,5.333333333,6,6,6,6,3,5,3,6,5,5.111111111,3,1,2,1,1,1,40.04910278,-75.22810364,-1
79,0,0,0,55,45,5,50,50,-5,55,45,5,50,50,-5,54,46,4,54,46,0,52,48,-2,3,1.87755102,47.14285714,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,20,0,47,1,1,6,3,6,3,4.5,4,6,5,5,5,6,6,7,7,6.5,7,5,3,6,5.25,3,4,3,5,3.75,3,1,5,5,5,6,5,6,3,7,7,7,4,6,4,5,5,5,4.944444444,6,7,6,7,5,3,5,7,6,5.777777778,5,1,2,4,1,1,39.95970154,-75.19680023,-1
80,1,1,1,50,50,50,71,29,21,61,39,10,54,46,7,54,46,0,64,36,10,65,35,1,15,6.163265306,40.14285714,8.166666667,"If polls are even before the election, they have an even chance of winning. ",76,People have more incentive to vote no if they are promised changes in tax policy and social policy. ,100,"The public figures are still important, but people love the ""hope for change"" campaigns, i.e. Obama campaign ",109,"I still feel like it's harder for people to accept radical change like leaving that union or whatever it is, but if the independence leader won the debate that will help them a lot",180,"This evidence does not seem that important, as indicated in the last line",73,"Now I consider the people that haven't been polled or are as likely to speak out. If they want radical change, they will be more likely to speak out. I think the majority will say no",182,Same rationale as the last question,35,755,107.8571429,0.05,1,5,1,24,0,2,5,5,5,5,5,4,6,3,4,4.25,6,6,5,6,5.75,7,6,5,6,6,4,3,3,5,3.75,3,6,7,7,7,1,4,4,5,6,6,7,6,6,6,5,4,6,5.333333333,3,7,5,6,5,3,5,5,6,5,3,1,2,1,1,1,39.95970154,-75.19680023,-1
81,0,1,1,69,31,19,77,23,8,68,32,-9,61,39,-7,66,34,5,69,31,3,59,41,-10,10,4.285714286,33,-1.666666667,"No took the lead consistently throughout the year, so unless something major happened I think it will happen again.",115,"There are more benefits offered for voting No, and it has also consistently been leading.",89,"No is really depressing so not really appealing to public morale, but still probably will win based on previous answers.",120,"It's still iffy, but it does look like there might be more of a chance that Yes will win.",89,"I don't think much of the circumstances have changed but new information is being given, which lead sme to decrease the probability but still remain in my stance to say No will win",180,Adds more support for No but didn't change my prediction too much because nothing has changed.,94,These rare voters may vote for either side.,43,730,104.2857143,0.05,1,5,1,47,1,3,2,6,5,3,4,1,5,2,3,2.75,5,6,6,6,5.75,7,7,6,7,6.75,6,5,2,4,4.25,4,3,6,5,5,2,4,2,5,4,4,5,4,5,5,3,5,5,4.222222222,4,6,5,6,5,3,5,5,5,4.888888889,4,1,2,4,1,1,39.95970154,-75.19680023,-1
82,1,0,0,47,53,53,50,50,3,40,60,10,0,100,40,0,100,0,36,64,36,40,60,4,7,17.3877551,69.57142857,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,5,3,6,5,4.75,5,3,6,6,5,7,7,7,7,7,7,5,7,7,6.5,1,1,2,2,1.5,3,3,3,3,7,3,5,3,3,3,3,5,5,3,3,5,7,1,3.777777778,6,6,7,7,3,5,3,7,6,5.555555556,3,1,1,1,1,1,39.95970154,-75.19680023,-1
83,1,0,0,60,40,40,45,55,15,40,60,5,34,66,6,38,62,4,40,60,2,35,65,5,25,6.163265306,58.28571429,6.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,5,4,7,6,5.5,5,4,4,4,4.25,6,6,5,6,5.75,6,2,2,5,3.75,5,3,5,5,4.5,5,5,4,5,5,5,5,2,2,5,3,4,3,2,3,4,5,5,4,4,6,6,5,5,3,5,4,5,4.777777778,3,1,1,3,1,1,39.95970154,-75.19680023,-1
84,1,1,1,70,30,30,60,40,10,81,19,21,44,56,37,50,50,6,70,30,20,60,40,10,10,9.87755102,37.85714286,17.33333333,"Some of the yes camp is starting to notice, but the no camp still has a lot of support that will come through",109,"It went down from the last time because while people SHOULD weigh the opinion of a diplomat higher, they often look to the guidance of public figures, too. I think the author holds a lot of weight, here.",203,"People are always motivated more by fear and uncertainty than the idea of hope. We like to think that we like hope, but we actually fear uncertainty more than we appreciate hope.",178,The momentum shift towards yes is going to hurt the chances of the no camp winning. Politics is largely about momentum.,119,The only way to fairly use this data is to say that it is essentially inconclusive which does not help anyone's chance at winning at all. 50/50,143,I think it is often true that the silent majority can sometimes change the direction of an election. Most of the emphatic people with a lot to say are also the only ones saying things at all.,191,"I think in the case of the people who rarely vote, it will actually hurt the no camp because these people will shy away from change, not seek it.",145,1088,155.4285714,0.10,0,100,0,47,1,1,3,6,6,6,5.25,6,7,6,7,6.5,6,6,6,6,6,2,6,6,5,4.75,2,3,2,3,2.5,6,6,6,6,6,2,6,2,6,6,6,7,5,5,6,2,6,2,5.055555556,3,5,4,6,2,6,2,3,6,4.111111111,3,1,1,2,1,1,39.95970154,-75.19680023,-1
85,0,0,0,48,52,-2,44,56,-4,45,55,1,51,49,6,54,46,3,58,42,4,60,40,2,12,5.06122449,48.57142857,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,3,6,4,3,4,4,6,5,4,4.75,4,5,4,5,4.5,3,6,5,5,4.75,2,2,4,6,3.5,3,5,5,5,1,5,3,1,3,4,5,6,6,5,6,1,2,5,3.944444444,6,6,6,6,6,2,6,6,5,5.444444444,3,1,1,3,1,1,39.95970154,-75.19680023,-1
86,0,1,1,60,40,10,60,40,0,40,60,-20,10,90,-30,10,90,0,30,70,20,20,80,-10,40,17.55102041,67.14285714,-6.666666667,"Although Yes camp was leading for a longer time, support for No camp grew extremely rapidly. No camp is gaining a lot of popularity and will continue to do so in some way.",171,"Prime Minister is a very important person who many will be swayed by. Senior diplomat of Apple has experience, but still has less influence.",140,People tend to like more positive things.,41,71% is going to be extremely hard to turn over within two weeks.,64,"I agree with the critics, the situations are very different, especially time-wise.",82,12 out of 16 is quite a large proportion that could definitely bring about considerable effect.,95,"This is a valid argument, but a lot of the previous evidence still gears my choice toward the fact that it is unlikely for the No camp to win.",142,735,105,0.10,0,100,0,24,0,0,5,2,6,2,3.75,2,4,2,3,2.75,7,7,7,7,7,7,4,4,7,5.5,6,2,4,6,4.5,5,5,6,6,6,5,6,6,6,5,5,6,5,5,5,4,6,5,5.388888889,4,5,4,6,3,5,3,3,4,4.111111111,3,1,2,4,1,1,39.95970154,-75.19680023,-1
87,0,1,1,25,75,-25,20,80,-5,20,80,0,50,50,30,50,50,0,70,30,20,70,30,0,45,18.7755102,56.42857143,7.5,"Given the momentum of the No camp, it is more likely that the No camp will win the election.",92,"It appears that there was more support from influencers on the No vote side, so I assumed that the No vote becomes more likely given just the information here.",159,I didn't change my answer because I don't know that this makes one or the other more likely.,92,"Looks like momentum has moved to the Yes vote side, but with No still leading I am unsure, so went with even chance for both.",125,Still unsure what side is likely to win.,40,"Assuming this sociologist is reliable and given the info on the last slide that late deciders break for status quo, I think the No vote is more likely to win.",158,No change to my thoughts based on this.,39,705,100.7142857,0.05,1,5,1,47,1,3,2,2,6,2,3,2,3,2,2,2.25,7,6,6,7,6.5,6,6,6,6,6,2,2,6,2,3,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.777777778,6,6,6,6,3,5,3,6,6,5.222222222,5,1,1,1,1,1,40.04020691,-75.53320313,-1
88,1,0,0,60,40,40,46,54,14,52,48,6,38,62,14,45,55,7,56,44,11,57,43,1,3,6.489795918,49.42857143,8.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,24,0,1,3,6,5,6,5,1,3,3,2,2.25,6,6,6,6,6,5,6,3,5,4.75,3,6,5,5,4.75,3,5,6,5,6,3,5,3,3,5,5,6,2,5,6,2,6,7,4.611111111,5,6,6,6,3,5,3,3,3,4.444444444,3,1,2,3,1,1,39.95970154,-75.19680023,-1
89,1,1,0,50,50,50,52,48,2,26,74,26,47,53,21,48,52,1,54,46,6,42,58,12,8,6.612244898,54.42857143,11.33333333,Even with the yes camp,22,No camp wins,12,negative slogan,15,No,2,d,1,a,1,unclear polls,13,66,9.428571429,0.05,1,20,0,47,1,2,5,5,5,3,4.5,5,6,3,6,5,6,5,5,5,5.25,5,5,6,5,5.25,3,4,2,5,3.5,3,6,5,2,2,3,2,2,2,6,6,5,6,6,3,5,2,3,3.833333333,3,4,5,3,4,4,4,5,3,3.888888889,3,1,2,4,1,1,39.95970154,-75.19680023,-1
90,0,0,0,30,70,-20,44,56,14,27,73,-17,7,93,-20,6,94,-1,30,70,24,35,65,5,5,10.89795918,74.42857143,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,NA,0,0,5,1,7,5,4.5,4,5,5,5,4.75,6,6,5,6,5.75,4,4,3,3,3.5,5,6,5,4,5,6,6,6,7,7,6,7,6,7,7,7,7,6,5,7,1,6,5,6.055555556,7,7,7,7,5,3,5,6,5,5.777777778,3,1,2,1,1,1,39.95970154,-75.19680023,-1
91,0,1,1,60,40,10,50,50,-10,60,40,10,40,60,-20,40,60,0,45,55,5,55,45,10,5,7.142857143,50,-0.833333333,"In three weeks, the No camp has been able to gain votes. They are catching up at a relatively high rate so they have a high percent of winning the election.",156,Popular/Respected people seem to be endorsing both camps. Their odds of winning are even given that both have about the same advantage.,135,"As much as people have hope for a better tomorrow, they are also extremely scared to go about the world uncertain and in the dark. Therefore, the No camp has a higher probability of winning given that their pathos is stronger than the Yes camp's theme. ",253,"The Yes camp seems to be gaining ground, which means that the No camp has less percent of winning the election. ",112,"Given the recent polls, the Yes camp is becoming more popular. If they gain the popularity, roughly 11% of votes can go towards them. That being said, it is not guaranteed so the No camp has the same probability of winning.",223,The No camp has a slightly higher chance of winning because of the underestimation. ,84,That puts the No camp group at a higher probability because these uninformed voters will not vote for change. ,110,1073,153.2857143,0.10,0,100,0,24,0,0,2,2,5,3,3,2,5,5,5,4.25,6,6,5,6,5.75,6,6,6,6,6,3,6,5,4,4.5,6,6,5,7,7,5,6,7,5,6,7,5,5,6,5,3,3,7,5.611111111,1,7,7,7,3,5,3,6,7,5.111111111,3,1,1,3,1,1,39.95970154,-75.19680023,-1
92,1,1,1,60,40,40,54,46,6,45,55,9,50,50,5,45,55,5,50,50,5,50,50,0,10,3.673469388,49.42857143,5,Yes camp seems to be building momentum so it's likely that it will continue to gain steam even though no camp has remained in the lead for the majority of the time,163,"After this, maybe slightly more than chance as they were previously even, I don't think this would sway a large amount of people, but enough to put them in the lead again",170,"Paired with the previous information, they still have a high chance but the yes campaign knows it's better to highlight positive than try to scare people out of voting for someone else",184,"It's just one poll so I don't think their chances are gone, but public opinion on the debate does matter enough to even it out",126,"If the yes camp is gaining support and the swing thing is true, even a little true, it'll put the yes camp over the edge to win",127,There are too many things that can't be accounted for,53,"Again, given the closeness of their polls at the beginning, it's hard to predict the actions of silent players and if they'd even really impact the election",156,979,139.8571429,0.05,1,5,1,47,1,3,2,3,5,3,3.25,4,6,5,5,5,5,2,5,6,4.5,5,5,6,6,5.5,1,4,2,4,2.75,6,6,6,6,6,4,6,5,4,6,5,6,6,5,4,6,6,6,5.5,4,6,6,7,4,4,4,4,5,4.888888889,3,1,2,7,1,1,39.95970154,-75.19680023,-1
93,1,0,0,34,66,66,34,66,0,29,71,5,18,82,11,17,83,1,22,78,5,26,74,4,8,5.755102041,74.28571429,4.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,47,1,2,5,5,5,5,5,5,6,5,6,5.5,6,6,5,6,5.75,6,7,6,7,6.5,1,1,1,2,1.25,6,5,5,5,5,3,3,3,3,7,7,5,5,5,5,5,5,5,4.833333333,4,6,6,6,4,4,4,6,4,4.888888889,3,1,1,1,1,1,39.95970154,-75.19680023,-1
94,1,1,1,45,55,55,45,55,0,40,60,5,32,68,8,33,67,1,36,64,3,34,66,2,11,4.693877551,62.14285714,3.166666667,It is less than 50% because they are on a downwards trend,57,"I have no way of knowing which of these opinions is more important, so I will keep it the same percentage.",106,"People tend to vote for ""hope"" since it is more positive. I decreased the odds of the No Camp.",94,Yes has a lot of momentum and I see no reason why it would slow down.,69,I don't think you can apply that sort of thing to this.,55,"I gave no a small bump. I don't know if it will affect this election, but it is worth noting.",93,"I don't know which was these people will vote, I think this just makes the votes more volatile.",95,569,81.28571429,0.05,1,500,0,47,1,2,2,1,5,4,3,3,2,3,3,2.75,5,3,4,3,3.75,3,4,5,4,4,5,4,5,4,4.5,2,5,4,4,2,3,3,2,4,2,4,4,4,6,4,7,2,2,3.555555556,3,3,5,4,4,4,4,5,4,4,3,1,1,1,1,1,39.95970154,-75.19680023,-1
95,1,0,0,52,48,48,52,48,0,52,48,0,52,48,0,54,46,2,59,41,5,52,48,7,0,1.836734694,46.71428571,2.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,3,2,6,2,3.25,7,5,6,6,6,6,7,6,6,6.25,7,7,6,7,6.75,6,2,6,6,5,2,5,3,5,3,5,3,2,2,6,6,5,5,5,5,3,3,7,4.166666667,5,6,6,6,5,3,5,6,5,5.222222222,3,1,1,1,1,1,39.95970154,-75.19680023,-1
97,0,1,1,50,50,0,60,40,10,40,60,-20,45,55,5,40,60,-5,50,50,10,50,50,0,0,5.306122449,52.14285714,0,"I assigned a 50% probability because at the ""3 weeks to go mark,"" the No camp is even with the Yes camp. ",105,"The No camp now has the endorsement of a famous author in Apple, which I believe will have a stronger impact than the senior diplomat urging Apple to vote Yes. ",160,I believe that the Yes theme will prove more effective than the No theme. ,74,"At this point, the Yes camp appears to be in the lead, but I do not believe that the No camp no longer has a chance. ",117,"If the swing votes go towards the Yes camp, as to follow the status quo, the No camp has a lower chance of winning. ",116,I believe that the uncertainty of the polls indicate that the Yes and No camps may be even. ,92,"This leads to uncertainty of voting outcome, which gives the Yes and No camps relatively even odds. ",100,764,109.1428571,0.05,1,100,0,49,0,1,2,2,6,3,3.25,2,5,5,3,3.75,6,6,6,6,6,5,6,5,5,5.25,2,2,3,5,3,6,2,5,3,3,3,5,5,1,3,5,5,3,5,3,3,5,5,3.888888889,5,7,5,7,3,5,3,4,6,5,3,1,2,7,1,1,39.95970154,-75.19680023,-1
98,0,0,0,50,50,0,50,50,0,47,53,-3,42,58,-5,47,53,5,50,50,3,51,49,1,1,2.408163265,51.85714286,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10,0,100,0,47,1,1,3,3,4,3,3.25,5,5,5,6,5.25,6,6,5,6,5.75,5,6,6,6,5.75,2,4,4,5,3.75,4,4,4,3,5,3,3,2,2,5,4,4,3,3,3,2,3,4,3.388888889,5,6,5,6,3,5,3,4,6,4.777777778,3,1,2,1,1,1,39.95970154,-75.19680023,-1
99,1,1,1,40,60,60,30,70,10,15,85,15,10,90,5,10,90,0,20,80,10,19,81,1,21,8.244897959,79.42857143,6.833333333,"The yes camp is gaining momentum and those that only pay attention during the last leg are now getting involved and seem to support the ""yes"" camp.",147,"Again the momentum, plus a 30 year veteran.",43,hope is more appealing than conformity.,39,everything seems to be going the way of the Yes camp.,53,I don' think 11% is enough to change anything.,46,I'm assuming sprial silence means there is backing that has not spoken up in favor of the no camp,97,"agin, with how much the yes camp has acheived, I dont know if it would be enough to make a difference",101,526,75.14285714,0.10,0,100,0,47,1,1,3,5,6,3,4.25,6,7,6,7,6.5,7,7,7,7,7,6,5,6,6,5.75,6,6,6,6,6,7,7,7,7,7,5,7,5,7,5,7,7,7,4,7,7,7,7,6.5,5,7,1,7,5,3,5,3,4,4.444444444,5,3,2,1,1,1,39.95970154,-75.19680023,-1
100,1,0,0,39,61,61,50,50,11,40,60,10,60,40,20,40,60,20,65,35,25,71,29,6,32,11.30612245,47.85714286,15.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,24,0,1,5,4,6,6,5.25,2,2,3,3,2.5,5,5,4,6,5,4,5,5,5,4.75,1,4,3,4,3,5,6,5,6,6,5,3,5,4,7,4,5,3,3,7,3,3,5,4.722222222,3,5,4,6,5,3,5,4,5,4.444444444,5,1,1,1,1,1,39.95970154,-75.19680023,-1
101,1,1,1,65,35,35,45,55,20,45,55,0,45,55,0,50,50,5,60,40,10,65,35,5,0,8.367346939,46.42857143,6.666666667,"Despite the No camp being even with the Yes camp at this mark, I believe there is still a high probability of Yes voters reverting to No",136,"Self-rule initiatives may convince many to switch to Yes permanently, as they may provide the liberties some No voters sought. Also, a famous author's opinion may reach and convince a wider amount of people than a senior diplomat's opinion, due to possibly greater name recognition and trust.",292,These slogans are not too convincing to switch sides even if some voters from either side lacked firmness in their beliefs.,123,"Winning in a single debate, even if it is the final one, does not heavily affect the long-term perceptions of a large public with regard to the issue; they may just be praising the leader's defense of the argument, but may still believe No to be a better choice.",262,"I believe this is a trend that is compatible with many polling cases, despite differences in circumstances.",107,This evidence seems very reasonable and uses statistical analysis to increase its trustworthiness.,98,"I think it's very unlikely that this would heavily affect the final decision, as there could be a similar ratio of people against/in favor of independence compared to the rest of the voters.",190,1208,172.5714286,0.05,1,5,1,47,1,3,2,7,6,6,5.25,2,5,2,3,3,6,5,5,6,5.5,7,6,5,7,6.25,6,7,6,6,6.25,2,3,5,5,3,5,6,1,2,4,5,6,3,3,2,6,5,6,4,4,6,6,6,5,3,5,7,5,5.222222222,3,1,1,3,1,1,39.95970154,-75.19680023,-1
102,0,0,0,50,50,0,50,50,0,50,50,0,50,50,0,50,50,0,24,76,-26,35,65,11,15,8.367346939,55.85714286,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,100,0,12,0,1,6,2,6,5,4.75,6,6,4,5,5.25,6,6,6,6,6,6,2,4,5,4.25,3,5,5,4,4.25,2,2,3,2,6,2,6,2,2,6,5,2,2,6,5,3,3,4,3.5,5,5,5,5,3,5,3,3,5,4.333333333,2,1,2,1,1,1,39.95970154,-75.19680023,-1
103,1,0,0,50,50,50,81,19,31,41,59,40,30,70,11,31,69,1,42,58,11,26,74,16,24,12.85714286,57,18.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,500,0,47,1,2,1,2,3,3,2.25,3,2,2,2,2.25,7,5,7,6,6.25,7,2,3,7,4.75,3,2,3,3,2.75,3,5,7,7,7,1,7,7,7,5,4,2,7,7,5,2,2,6,5.055555556,2,7,7,7,6,2,6,5,7,5.444444444,5,1,2,4,1,1,39.95970154,-75.19680023,-1
104,1,1,1,55,45,45,70,30,15,75,25,5,40,60,35,50,50,10,70,30,20,50,50,20,5,11.2244898,41.42857143,17.5,"Due to the strength they've had up until the 3 week mark, it is still likely that they will maintain it. The fact that they are now even with the yes camp gives pause, however.",176,Cultural icons have greater sway than politicians.,50,The fear bias sways public opinion strongly as opposed to the hopeful message.,78,"The No camp has strength that the Yes camp has failed to get up until this point. That being said, there is evidence that a surge for the Yes camp is occurring.",160,"The information is good for propoganda, and therefore may be useful in swinging the vote towards the No camp, but the fact that the referendums have been different makes this information less useful.",199,The information that the vote estimates have been inaccurate is more important than the reasons for it and gives a cause to rally the No vote to.,145,"The information is ambivalent, and therefore does not provide any further strength to either side.",98,906,129.4285714,0.05,1,100,0,24,0,1,4,5,7,6,5.5,2,3,4,2,2.75,5,6,4,7,5.5,5,5,3,6,4.75,2,3,2,3,2.5,6,4,6,6,6,4,6,4,4,6,4,6,4,4,4,4,4,6,4.888888889,4,6,5,5,5,3,5,5,6,4.888888889,5,1,1,1,1,1,39.95970154,-75.19680023,-1
105,1,0,0,49,51,51,45,55,4,43,57,2,34,66,9,39,61,5,45,55,6,40,60,5,9,3.836734694,57.85714286,5.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50,0,5,1,47,1,2,3,2,5,3,3.25,3,5,5,3,4,6,4,5,6,5.25,7,7,5,5,6,5,4,4,4,4.25,5,5,5,5,6,5,5,3,5,6,5,6,6,6,5,3,3,1,4.722222222,4,6,6,7,2,6,2,5,5,4.777777778,2,1,2,3,1,1,39.95970154,-75.19680023,-1
112,0,0,0,50,50,0,75,25,25,30,70,-45,46,54,16,50,50,4,61,39,11,65,35,4,15,11.26530612,46.14285714,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,1,5,1,47,1,3,2,3,3,5,3.25,3,5,5,2,3.75,7,6,7,6,6.5,5,6,6,6,5.75,1,2,2,2,1.75,6,5,6,7,7,6,6,5,6,7,6,6,7,6,7,6,6,6,6.166666667,4,5,7,7,6,2,6,7,6,5.555555556,3,1,1,4,1,1,39.95970154,-75.19680023,-1
113,0,1,1,50,50,0,75,25,25,25,75,-50,5,95,-20,50,50,45,80,20,30,50,50,-30,0,18.7755102,52.14285714,0,"They are basically at a stalemate, so it's difficult to see who will win right now.",83,The popular author probably has more pull than the government figure.,69,People would rather believe in hope than uncertainty and doomsday themes.,73,The polls show that many swing votes will go to yes.,52,"I'm not sure what all of this means, so I'm going with 50%.",59,The polls were wrong and the No vote is stronger than they noticed.,67,"This talks about whether polls are accurate, but doesn't reflect current numbers towards either camp.",101,504,72,0.05,1,5,1,47,1,3,6,5,6,5,5.5,5,5,5,4,4.75,6,6,6,6,6,6,7,5,7,6.25,2,3,5,6,4,1,1,7,7,7,1,7,7,7,1,1,7,1,1,1,7,7,1,4,4,4,4,4,4,4,4,4,4,4,3,1,2,2,1,1,39.95970154,-75.19680023,-1
114,0,1,1,50,50,0,48,52,-2,44,56,-4,54,46,10,54,46,0,54,46,0,54,46,0,4,3.265306122,48.85714286,0.666666667,"I tried to choose 50%, but the slider wasn't working for me. The only information I currently have says it's a dead heat. ",122,"48% (Slider is difficult to operate for some reason) May manipulate vote to some extent, but should regress to mean if public figures don't keep at it.",151,"43% - 45%. The evidence looks bleak for the No Apple Camp; however, still not a great amount of evidence to make any definitive assertion.",138,54% for the no camp. The vignette above is a little confusing but it seems that there is a slight lead for the No-Camp based on some polls and recent debate performance. Nothing major to move the needle,202,"Still 54% from the last slide, this information isn't too relevant. 36 years ago is a hard translation. ",104,"Still 54% in favor of No Camp. (No change from the previous question) Overestimation and underestimation are embedded in the fabric of polling, so it won't shift too much.",171,Still 54% for the No Camp. The effect of polling won't fluctuate my percentages too much unless an important piece of information is attached to it.,148,1036,148,0.05,1,5,1,47,1,3,6,7,7,7,6.75,4,7,6,7,6,7,7,7,7,7,7,7,7,7,7,2,1,2,5,2.5,4,5,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.166666667,5,7,7,7,4,4,4,7,4,5.444444444,3,1,1,1,1,1,39.95970154,-75.19680023,-1
